year,total_corn_acres_basin,total_soy_acres_basin,total_crop_acres_basin
2001,51385000.0,57260000.0,108645000.0
2002,53295000.0,57300000.0,110595000.0
2003,53965000.0,56640000.0,110605000.0
2004,55290000.0,56690000.0,111980000.0
2005,55760000.0,54710000.0,110470000.0
2006,53200000.0,56890000.0,110090000.0
2007,63180000.0,48825000.0,112005000.0
2008,57030000.0,56090000.0,113120000.0
2009,57680000.0,57030000.0,114710000.0
2010,58350000.0,56310000.0,114660000.0
2011,60870000.0,55280000.0,116150000.0
2012,64760000.0,56100000.0,120860000.0
2013,62590000.0,56690000.0,119280000.0
2014,60590000.0,60000000.0,120590000.0
2015,58700000.0,59650000.0,118350000.0
2016,60910000.0,60260000.0,121170000.0
2017,58010000.0,64180000.0,122190000.0
2018,57250000.0,63760000.0,121010000.0
2019,55320000.0,54350000.0,109670000.0
2020,58110000.0,60180000.0,118290000.0
2021,59580000.0,61890000.0,121470000.0
2022,57340000.0,63010000.0,120350000.0
2023,60980000.0,60330000.0,121310000.0
2024,57180000.0,63050000.0,120230000.0
