year,Zone1_mean_O2,Zone2_mean_O2,Zone3_mean_O2,Zone1_percent_hypoxic,Zone2_percent_hypoxic,Zone3_percent_hypoxic,Zone1_estimated_hypoxic_area_km2,Zone2_estimated_hypoxic_area_km2,Zone3_estimated_hypoxic_area_km2,total_hypoxic_area_km2,all_zones_available
2001,4.9103171875000005,2.7540153846153848,4.6254,6.25,46.15384615384615,0.0,3300.8598951993504,7191.07676022346,0.0,10491.93665542281,True
2002,4.024418604651163,2.82075,5.173333333333334,15.503875968992247,32.142857142857146,0.0,17766.20006927989,9134.678151359978,0.0,26900.87822063987,True
2003,5.8143918918918915,3.072,3.5355555555555553,0.9009009009009009,33.33333333333333,3.7037037037037033,0.0,7071.236618399992,0.0,7071.236618399992,True
2004,4.979665035971223,3.0382593589743587,4.00896219747,4.316546762589928,30.76923076923077,0.0,4483.063302479959,16640.685279777663,18882.216931,21123.74858225762,False
2005,5.4431188793103455,2.893122653061224,5.0328614285714295,1.7241379310344827,38.775510204081634,0.0,0.0,18486.62388431998,0.0,18486.62388431998,True
2006,5.5071189843749995,3.85055935897436,4.539005,1.5625,16.666666666666664,4.166666666666666,0.0,11431.642354560034,0.0,11431.642354560034,True
2007,4.367230283018868,2.410928695652174,4.792160625,11.320754716981133,41.30434782608695,0.0,8613.333164880025,11288.573584142454,0.0,19901.906749022477,True
2008,3.9259782945736434,2.1002507692307693,4.0758893333333335,18.6046511627907,53.84615384615385,0.0,17201.007555019165,24922.05483229926,0.0,42123.06238731842,True
2009,4.474909209302325,3.582816034482758,5.157393999999999,2.7906976744186047,17.24137931034483,0.0,4838.4646328593235,13645.52636112015,0.0,18483.990993979474,True
2010,4.016561935483872,3.061831785714285,4.366141,6.451612903225806,35.714285714285715,0.0,2904.137839265235,3729.4589746491697,,6633.596813914404,False
2011,4.025333333333334,3.415943090909091,3.574888,14.393939393939394,16.363636363636363,0.0,19777.014065273084,12638.435279559439,0.0,32415.449344832523,True
2012,5.368184014084507,5.470480952380953,6.171388958333334,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True
2013,4.748974237288135,4.021445,5.1069181355932205,2.5423728813559325,9.615384615384617,0.0,176.1064346160332,493.8342714000133,0.0,669.9407060160465,True
2014,5.288264357142857,3.9915931325301197,5.8349995,0.7142857142857143,15.66265060240964,0.0,0.0,5773.0274941421585,0.0,5773.0274941421585,True
2015,4.277292142857142,4.493106451612904,5.327343902439024,12.142857142857142,1.6129032258064515,0.0,6916.148692976789,0.0,0.0,6916.148692976789,True
2016,3.4984534,4.022201449275361,5.628562711864406,24.666666666666668,8.695652173913043,0.0,37273.25856863844,4023.053402775435,0.0,41296.311971413874,True
2017,4.214960550458716,4.661724999999999,4.704590196078431,4.587155963302752,0.0,0.0,5728.991445380289,0.0,0.0,5728.991445380289,True
2018,5.210606024096386,3.716558620689654,5.123885714285714,1.2048192771084338,13.793103448275861,0.0,0.0,2058.959596763339,0.0,2058.959596763339,True
2019,3.5364505154639176,4.248295454545454,4.530914634146341,20.618556701030926,0.0,7.317073170731707,19474.705603772625,0.0,127.93061172959219,19602.636215502218,True
2021,5.240785714285714,6.540365384615384,7.5358,8.333333333333332,0.0,0.0,2611.8393687137714,0.0,0.0,2611.8393687137714,True
2023,5.05878038278,4.451681818181818,5.665878947368422,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False
2024,4.927484466019418,5.1646777777777775,5.493922580645161,2.912621359223301,0.0,0.0,2235.5620866309628,0.0,0.0,2235.5620866309628,True
